model,seed,metric,n_source,source_performance,source_ci_low,source_ci_high,source_half_width,source_half_width_tolerance,source_within_tolerance
MobileNetV2,5,auc_roc,1002,0.9235833291132832,0.9051224518785564,0.9404105132784782,0.0176440306999609,0.075,True
ResNet50,1,auc_roc,1002,0.9442257051704056,0.9285172028814932,0.9579469989848886,0.014714898051697678,0.075,True
ResNet50,2,auc_roc,1002,0.917690028865144,0.8966351487224982,0.936349123015572,0.019856987146536942,0.075,True
ResNet50,3,auc_roc,1002,0.9215640350432978,0.9021379702326996,0.9391679664740566,0.018514998120678527,0.075,True
ResNet50,4,auc_roc,1002,0.9302045880386894,0.9115566170114328,0.9476707141651416,0.018057048576854418,0.075,True
ResNet50,5,auc_roc,1002,0.9327302881450348,0.91371043637491,0.9483577444505498,0.01732365403781988,0.075,True
VGG16,1,auc_roc,1002,0.9304198106041424,0.9130795354121992,0.9466505703425078,0.016785517465154276,0.075,True
VGG16,2,auc_roc,1002,0.9209626778751204,0.9022135011721326,0.9377762022248172,0.017781350526342277,0.075,True
VGG16,3,auc_roc,1002,0.9118536992960956,0.8907850378617667,0.9312714829139576,0.02024322252609545,0.075,True
VGG16,4,auc_roc,1002,0.915556793436978,0.8967616266925467,0.9332156693717184,0.01822702133958587,0.075,True
VGG16,5,auc_roc,1002,0.9211525801387552,0.9033361782034042,0.9387180264322376,0.017690924114416695,0.075,True
